"0","97","823","2020-09-10 02:34:08","11","1","false","283"
"1","96","742","2023-07-10 07:43:30","94","5","true","835"
"2","99","925","2021-08-15 03:46:49","3","6","false","65"
"3","49","669","2020-01-17 22:14:22","3","1","false","160"
"4","87","326","2022-03-10 10:53:55","95","3","false","432"
"5","29","534","2021-12-20 02:27:50","33","7","true","903"
"6","55","1706","2023-04-14 14:50:00","44","9","true","188"
"7","96","89","2023-08-30 00:05:34","49","8","true","882"
"8","70","1684","2021-05-21 11:08:50","33","10","false","525"
"9","45","1282","2022-01-31 02:28:14","71","6","false","4"
"10","0","1315","2023-08-25 09:52:00","8","3","true","455"
"11","53","110","2021-04-13 05:35:40","97","8","true","754"
"12","69","319","2022-10-28 16:02:02","78","2","false","9"
"13","46","1922","2021-12-25 18:53:06","49","1","true","255"
"14","30","712","2020-05-24 12:06:30","33","6","false","282"
"15","89","1106","2021-07-25 01:16:55","48","7","false","7"
"16","31","1803","2021-07-05 13:19:14","26","6","true","961"
"17","32","1048","2022-10-15 03:41:09","40","6","true","153"
"18","20","445","2022-01-05 11:40:53","28","4","false","851"
"19","30","1561","2021-03-11 01:36:15","34","3","true","376"
"20","90","282","2023-02-17 08:31:20","17","5","true","491"
"21","16","418","2020-03-25 08:08:18","91","7","false","636"
"22","58","1061","2020-07-16 12:51:17","5","2","true","842"
"23","83","720","2021-05-19 16:38:47","43","9","false","519"
"24","40","1037","2020-12-17 13:04:42","72","1","true","423"
"25","23","739","2020-04-13 01:16:06","22","8","true","259"
"26","91","688","2020-09-29 05:35:10","44","6","false","779"
"27","33","175","2020-09-29 09:17:15","55","1","false","976"
"28","59","1052","2020-01-21 11:43:03","86","7","true","391"
"29","75","147","2021-03-10 23:39:21","84","10","true","62"
"30","25","979","2023-09-16 19:20:16","65","1","false","624"
"31","61","178","2021-08-17 09:29:50","56","7","false","921"
"32","56","1597","2022-12-31 18:20:00","40","5","false","842"
"33","70","1010","2020-04-23 19:03:28","38","9","false","946"
"34","53","1756","2022-11-27 08:32:11","92","6","true","952"
"35","98","1686","2021-06-07 13:22:46","34","3","false","934"
"36","61","1174","2020-12-12 13:10:07","4","5","false","894"
"37","66","698","2022-08-17 19:47:57","77","7","false","623"
"38","23","1235","2022-04-22 03:16:29","5","8","true","193"
"39","53","1627","2023-10-10 19:42:16","66","2","false","809"
"40","13","1738","2023-10-17 01:49:23","22","6","true","153"
"41","73","84","2021-02-23 08:16:35","55","8","true","131"
"42","59","521","2020-04-03 02:35:55","87","9","true","677"
